CancerClassificationExperiment06-12-2021_637743456000000000.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :33.33333333333333 	 
cycle : 2 	 Accuracy :40 	 
cycle : 3 	 Accuracy :53.333333333333336 	 
Cycle: 4 	 Saturated Accuracy : 53.333333333333336 	 Number of times repeated 1
cycle : 5 	 Accuracy :60 	 
cycle : 6 	 Accuracy :46.666666666666664 	 
cycle : 7 	 Accuracy :60 	 
cycle : 8 	 Accuracy :46.666666666666664 	 
cycle : 9 	 Accuracy :60 	 
cycle : 10 	 Accuracy :46.666666666666664 	 
cycle : 11 	 Accuracy :60 	 
cycle : 12 	 Accuracy :46.666666666666664 	 
cycle : 13 	 Accuracy :60 	 
cycle : 14 	 Accuracy :46.666666666666664 	 
cycle : 15 	 Accuracy :60 	 
cycle : 16 	 Accuracy :46.666666666666664 	 
cycle : 17 	 Accuracy :60 	 
cycle : 18 	 Accuracy :46.666666666666664 	 
cycle : 19 	 Accuracy :60 	 
cycle : 20 	 Accuracy :46.666666666666664 	 
cycle : 21 	 Accuracy :60 	 
cycle : 22 	 Accuracy :46.666666666666664 	 
cycle : 23 	 Accuracy :60 	 
cycle : 24 	 Accuracy :46.666666666666664 	 
cycle : 25 	 Accuracy :60 	 
cycle : 26 	 Accuracy :46.666666666666664 	 
cycle : 27 	 Accuracy :60 	 
cycle : 28 	 Accuracy :46.666666666666664 	 
cycle : 29 	 Accuracy :60 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :31.818181818181817 	 
cycle : 2 	 Accuracy :45.45454545454545 	 
cycle : 3 	 Accuracy :50 	 
Cycle: 4 	 Saturated Accuracy : 50 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 50 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 50 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 50 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 50 	 Number of times repeated 5
cycle : 9 	 Accuracy :36.36363636363637 	 
cycle : 10 	 Accuracy :40.909090909090914 	 
cycle : 11 	 Accuracy :45.45454545454545 	 
Cycle: 12 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 1
Cycle: 13 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 2
Cycle: 14 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 3
Cycle: 15 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 4
Cycle: 16 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 5
Cycle: 17 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 6
Cycle: 18 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 7
Cycle: 19 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 8
Cycle: 20 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 9
Cycle: 21 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 10
Cycle: 22 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 11
Cycle: 23 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 12
Cycle: 24 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 13
Cycle: 25 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 14
Cycle: 26 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 15
Cycle: 27 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 16
Cycle: 28 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 17
Cycle: 29 	 Saturated Accuracy : 45.45454545454545 	 Number of times repeated 18
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :25 	 
cycle : 2 	 Accuracy :31.25 	 
cycle : 3 	 Accuracy :25 	 
Cycle: 4 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 5 	 Accuracy :31.25 	 
Cycle: 6 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
Cycle: 7 	 Saturated Accuracy : 31.25 	 Number of times repeated 2
Cycle: 8 	 Saturated Accuracy : 31.25 	 Number of times repeated 3
cycle : 9 	 Accuracy :25 	 
cycle : 10 	 Accuracy :31.25 	 
Cycle: 11 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
cycle : 12 	 Accuracy :25 	 
cycle : 13 	 Accuracy :31.25 	 
Cycle: 14 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
cycle : 15 	 Accuracy :25 	 
cycle : 16 	 Accuracy :31.25 	 
Cycle: 17 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
cycle : 18 	 Accuracy :25 	 
cycle : 19 	 Accuracy :31.25 	 
Cycle: 20 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
cycle : 21 	 Accuracy :25 	 
cycle : 22 	 Accuracy :31.25 	 
Cycle: 23 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
cycle : 24 	 Accuracy :25 	 
cycle : 25 	 Accuracy :31.25 	 
Cycle: 26 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
cycle : 27 	 Accuracy :25 	 
cycle : 28 	 Accuracy :31.25 	 
Cycle: 29 	 Saturated Accuracy : 31.25 	 Number of times repeated 1
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :8.333333333333332 	 
Cycle: 2 	 Saturated Accuracy : 8.333333333333332 	 Number of times repeated 1
cycle : 3 	 Accuracy :16.666666666666664 	 
Cycle: 4 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 4
Cycle: 8 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 5
cycle : 9 	 Accuracy :25 	 
Cycle: 10 	 Saturated Accuracy : 25 	 Number of times repeated 1
Cycle: 11 	 Saturated Accuracy : 25 	 Number of times repeated 2
Cycle: 12 	 Saturated Accuracy : 25 	 Number of times repeated 3
Cycle: 13 	 Saturated Accuracy : 25 	 Number of times repeated 4
Cycle: 14 	 Saturated Accuracy : 25 	 Number of times repeated 5
Cycle: 15 	 Saturated Accuracy : 25 	 Number of times repeated 6
Cycle: 16 	 Saturated Accuracy : 25 	 Number of times repeated 7
Cycle: 17 	 Saturated Accuracy : 25 	 Number of times repeated 8
Cycle: 18 	 Saturated Accuracy : 25 	 Number of times repeated 9
Cycle: 19 	 Saturated Accuracy : 25 	 Number of times repeated 10
Cycle: 20 	 Saturated Accuracy : 25 	 Number of times repeated 11
Cycle: 21 	 Saturated Accuracy : 25 	 Number of times repeated 12
Cycle: 22 	 Saturated Accuracy : 25 	 Number of times repeated 13
Cycle: 23 	 Saturated Accuracy : 25 	 Number of times repeated 14
Cycle: 24 	 Saturated Accuracy : 25 	 Number of times repeated 15
Cycle: 25 	 Saturated Accuracy : 25 	 Number of times repeated 16
Cycle: 26 	 Saturated Accuracy : 25 	 Number of times repeated 17
Cycle: 27 	 Saturated Accuracy : 25 	 Number of times repeated 18
Cycle: 28 	 Saturated Accuracy : 25 	 Number of times repeated 19
Cycle: 29 	 Saturated Accuracy : 25 	 Number of times repeated 20
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :26.08695652173913 	 
Cycle: 2 	 Saturated Accuracy : 26.08695652173913 	 Number of times repeated 1
cycle : 3 	 Accuracy :21.73913043478261 	 
cycle : 4 	 Accuracy :30.434782608695656 	 
cycle : 5 	 Accuracy :43.47826086956522 	 
Cycle: 6 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 1
Cycle: 7 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 2
Cycle: 8 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 3
Cycle: 9 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 4
Cycle: 10 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 5
Cycle: 11 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 6
Cycle: 12 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 7
Cycle: 13 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 8
Cycle: 14 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 9
Cycle: 15 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 10
Cycle: 16 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 11
Cycle: 17 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 12
Cycle: 18 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 13
Cycle: 19 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 14
Cycle: 20 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 15
Cycle: 21 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 16
Cycle: 22 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 17
Cycle: 23 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 18
Cycle: 24 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 19
Cycle: 25 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 20
Cycle: 26 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 21
Cycle: 27 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 22
Cycle: 28 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 23
Cycle: 29 	 Saturated Accuracy : 43.47826086956522 	 Number of times repeated 24
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :23.076923076923077 	 
Cycle: 2 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 8
Cycle: 10 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 9
Cycle: 11 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 10
Cycle: 12 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 11
Cycle: 13 	 Saturated Accuracy : 23.076923076923077 	 Number of times repeated 12
cycle : 14 	 Accuracy :38.46153846153847 	 
Cycle: 15 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 1
Cycle: 16 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 2
Cycle: 17 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 3
Cycle: 18 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 4
Cycle: 19 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 5
Cycle: 20 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 6
Cycle: 21 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 7
Cycle: 22 	 Saturated Accuracy : 38.46153846153847 	 Number of times repeated 8
cycle : 23 	 Accuracy :30.76923076923077 	 
Cycle: 24 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 1
Cycle: 25 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 2
Cycle: 26 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 3
Cycle: 27 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 4
Cycle: 28 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 5
Cycle: 29 	 Saturated Accuracy : 30.76923076923077 	 Number of times repeated 6
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :33.33333333333333 	 
Cycle: 2 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 8
Cycle: 10 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 9
Cycle: 11 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 10
Cycle: 12 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 11
Cycle: 13 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 12
Cycle: 14 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 13
Cycle: 15 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 14
Cycle: 16 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 15
Cycle: 17 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 16
Cycle: 18 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 17
Cycle: 19 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 18
Cycle: 20 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 19
Cycle: 21 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 20
Cycle: 22 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 21
Cycle: 23 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 22
Cycle: 24 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 23
cycle : 25 	 Accuracy :38.88888888888889 	 
cycle : 26 	 Accuracy :33.33333333333333 	 
cycle : 27 	 Accuracy :38.88888888888889 	 
cycle : 28 	 Accuracy :33.33333333333333 	 
cycle : 29 	 Accuracy :38.88888888888889 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :15.384615384615385 	 
Cycle: 2 	 Saturated Accuracy : 15.384615384615385 	 Number of times repeated 1
