PassengerCountAutomatedTesting06-12-2021637743456000000000.txt
Actual Value : 66743 	 Predicted Value:68855
Actual Value : 66743 	 Predicted Value:69972
Actual Value : 66743 	 Predicted Value:59438
Actual Value : 68855 	 Predicted Value:69972
Actual Value : 68855 	 Predicted Value:60486
Actual Value : 68855 	 Predicted Value:73719
Actual Value : 50288 	 Predicted Value:42631
Actual Value : 50288 	 Predicted Value:51167
Actual Value : 50288 	 Predicted Value:53416
Actual Value : 44891 	 Predicted Value:46567
Actual Value : 44891 	 Predicted Value:46640
Actual Value : 44891 	 Predicted Value:39440
Actual Value : 47992 	 Predicted Value:41728
Actual Value : 47992 	 Predicted Value:48433
Actual Value : 47992 	 Predicted Value:33131
Actual Value : 42354 	 Predicted Value:44737
Actual Value : 42354 	 Predicted Value:47524
Actual Value : 42354 	 Predicted Value:58267
Actual Value : 45933 	 Predicted Value:57621
Actual Value : 45933 	 Predicted Value:54544
Actual Value : 45933 	 Predicted Value:64172
Actual Value : 43085 	 Predicted Value:46640
Actual Value : 43085 	 Predicted Value:34024
Actual Value : 43085 	 Predicted Value:39440
Actual Value : 69972 	 Predicted Value:64690
Actual Value : 69972 	 Predicted Value:62480
Actual Value : 69972 	 Predicted Value:63602
Actual Value : 58267 	 Predicted Value:40809
Actual Value : 58267 	 Predicted Value:38533
Actual Value : 58267 	 Predicted Value:50225
Actual Value : 66743 	 Predicted Value:68855
Actual Value : 66743 	 Predicted Value:69972
Actual Value : 66743 	 Predicted Value:59438
Actual Value : 38533 	 Predicted Value:50225
Actual Value : 38533 	 Predicted Value:40809
Actual Value : 38533 	 Predicted Value:38533
Actual Value : 47805 	 Predicted Value:42012
Actual Value : 47805 	 Predicted Value:48628
Actual Value : 47805 	 Predicted Value:44055
Actual Value : 46374 	 Predicted Value:46567
Actual Value : 46374 	 Predicted Value:46640
Actual Value : 46374 	 Predicted Value:40838
Actual Value : 58621 	 Predicted Value:60148
Actual Value : 58621 	 Predicted Value:62655
Actual Value : 58621 	 Predicted Value:71374
Actual Value : 44092 	 Predicted Value:49890
Actual Value : 44092 	 Predicted Value:44092
Actual Value : 63162 	 Predicted Value:63162
Actual Value : 58445 	 Predicted Value:60829
Actual Value : 58445 	 Predicted Value:45650
Actual Value : 58445 	 Predicted Value:58445
Actual Value : 42612 	 Predicted Value:43920
Actual Value : 42612 	 Predicted Value:44730
Actual Value : 42612 	 Predicted Value:45385
Actual Value : 44092 	 Predicted Value:44092
Actual Value : 60829 	 Predicted Value:63311
Actual Value : 60829 	 Predicted Value:53048
Actual Value : 60829 	 Predicted Value:60829
Actual Value : 63637 	 Predicted Value:54731
Actual Value : 63637 	 Predicted Value:66743
Actual Value : 63637 	 Predicted Value:68855
Actual Value : 42631 	 Predicted Value:42354
Actual Value : 42631 	 Predicted Value:54567
Actual Value : 42631 	 Predicted Value:58863
Actual Value : 67628 	 Predicted Value:66474
Actual Value : 67628 	 Predicted Value:45385
Actual Value : 67628 	 Predicted Value:45089
Actual Value : 40031 	 Predicted Value:32205
Actual Value : 40031 	 Predicted Value:47805
Actual Value : 40031 	 Predicted Value:42012
Actual Value : 65868 	 Predicted Value:53806
Actual Value : 65868 	 Predicted Value:54211
Actual Value : 65868 	 Predicted Value:65868
Actual Value : 50288 	 Predicted Value:42631
Actual Value : 50288 	 Predicted Value:51167
Actual Value : 50288 	 Predicted Value:55991
Actual Value : 33131 	 Predicted Value:42631
Actual Value : 33131 	 Predicted Value:51167
Actual Value : 33131 	 Predicted Value:55991
Actual Value : 60486 	 Predicted Value:63026
Actual Value : 60486 	 Predicted Value:73719
Actual Value : 60486 	 Predicted Value:64690
Actual Value : 42612 	 Predicted Value:43920
Actual Value : 42612 	 Predicted Value:67628
Actual Value : 42612 	 Predicted Value:30019
Actual Value : 51167 	 Predicted Value:54567
Actual Value : 51167 	 Predicted Value:42354
Actual Value : 51167 	 Predicted Value:58863
Actual Value : 55435 	 Predicted Value:44891
Actual Value : 55435 	 Predicted Value:46374
Actual Value : 55435 	 Predicted Value:55435
Actual Value : 51167 	 Predicted Value:54567
Actual Value : 51167 	 Predicted Value:42354
Actual Value : 51167 	 Predicted Value:58863
Actual Value : 43851 	 Predicted Value:48433
Actual Value : 43851 	 Predicted Value:52275
Actual Value : 43851 	 Predicted Value:41728
Actual Value : 50225 	 Predicted Value:50225
Actual Value : 62480 	 Predicted Value:64972
Actual Value : 62480 	 Predicted Value:65270
Actual Value : 62480 	 Predicted Value:47850
Actual Value : 38832 	 Predicted Value:50525
Actual Value : 38832 	 Predicted Value:56256
Actual Value : 38832 	 Predicted Value:57408
Actual Value : 56534 	 Predicted Value:42012
Actual Value : 56534 	 Predicted Value:48628
Actual Value : 56534 	 Predicted Value:52648
Actual Value : 45777 	 Predicted Value:34024
Actual Value : 45777 	 Predicted Value:49961
Actual Value : 45777 	 Predicted Value:56600
Actual Value : 68790 	 Predicted Value:60029
Actual Value : 68790 	 Predicted Value:71374
Actual Value : 68790 	 Predicted Value:62655
Actual Value : 41728 	 Predicted Value:33131
Actual Value : 41728 	 Predicted Value:41728
Actual Value : 60486 	 Predicted Value:60486
Actual Value : 65868 	 Predicted Value:53806
Actual Value : 65868 	 Predicted Value:54211
Actual Value : 65868 	 Predicted Value:65868
Actual Value : 54342 	 Predicted Value:42012
Actual Value : 54342 	 Predicted Value:48628
Actual Value : 54342 	 Predicted Value:53318
Actual Value : 46567 	 Predicted Value:39440
Actual Value : 46567 	 Predicted Value:46640
Actual Value : 46567 	 Predicted Value:34024
Actual Value : 69972 	 Predicted Value:64690
Actual Value : 69972 	 Predicted Value:73719
Actual Value : 69972 	 Predicted Value:62480
Actual Value : 33131 	 Predicted Value:42631
Actual Value : 33131 	 Predicted Value:29547
Actual Value : 33131 	 Predicted Value:36547
Actual Value : 59795 	 Predicted Value:61194
Actual Value : 59795 	 Predicted Value:51725
Actual Value : 59795 	 Predicted Value:40031
Actual Value : 50515 	 Predicted Value:36547
Actual Value : 50515 	 Predicted Value:28772
Actual Value : 50515 	 Predicted Value:47203
Actual Value : 44355 	 Predicted Value:43851
Actual Value : 44355 	 Predicted Value:47992
Actual Value : 44355 	 Predicted Value:49890
Actual Value : 28772 	 Predicted Value:41088
Actual Value : 28772 	 Predicted Value:49033
Actual Value : 28772 	 Predicted Value:28772
Actual Value : 47457 	 Predicted Value:45385
Actual Value : 47457 	 Predicted Value:30019
Actual Value : 47457 	 Predicted Value:38832
ACCURACY OBTAINED: 21.666666666666668
