 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :8.609271523178808 	 
cycle : 2 	 Accuracy :43.70860927152318 	 
cycle : 3 	 Accuracy :52.980132450331126 	 
cycle : 4 	 Accuracy :66.22516556291392 	 
cycle : 5 	 Accuracy :68.21192052980133 	 
cycle : 6 	 Accuracy :72.18543046357617 	 
cycle : 7 	 Accuracy :75.49668874172185 	 
cycle : 8 	 Accuracy :77.48344370860927 	 
cycle : 9 	 Accuracy :80.13245033112582 	 
cycle : 10 	 Accuracy :78.1456953642384 	 
cycle : 11 	 Accuracy :82.11920529801324 	 
cycle : 12 	 Accuracy :83.44370860927152 	 
cycle : 13 	 Accuracy :82.11920529801324 	 
cycle : 14 	 Accuracy :80.13245033112582 	 
cycle : 15 	 Accuracy :78.1456953642384 	 
cycle : 16 	 Accuracy :82.11920529801324 	 
cycle : 17 	 Accuracy :80.13245033112582 	 
cycle : 18 	 Accuracy :78.1456953642384 	 
cycle : 19 	 Accuracy :82.78145695364239 	 
cycle : 20 	 Accuracy :79.47019867549669 	 
cycle : 21 	 Accuracy :80.13245033112582 	 
cycle : 22 	 Accuracy :81.45695364238411 	 
cycle : 23 	 Accuracy :78.1456953642384 	 
cycle : 24 	 Accuracy :78.80794701986756 	 
cycle : 25 	 Accuracy :83.44370860927152 	 
cycle : 26 	 Accuracy :82.78145695364239 	 
cycle : 27 	 Accuracy :81.45695364238411 	 
Cycle: 28 	 Saturated Accuracy : 81.45695364238411 	 Number of times repeated 1
cycle : 29 	 Accuracy :84.76821192052981 	 
Cycle: 30 	 Saturated Accuracy : 84.76821192052981 	 Number of times repeated 1
cycle : 31 	 Accuracy :82.11920529801324 	 
cycle : 32 	 Accuracy :78.80794701986756 	 
cycle : 33 	 Accuracy :82.11920529801324 	 
cycle : 34 	 Accuracy :83.44370860927152 	 
cycle : 35 	 Accuracy :81.45695364238411 	 
cycle : 36 	 Accuracy :80.13245033112582 	 
Cycle: 37 	 Saturated Accuracy : 80.13245033112582 	 Number of times repeated 1
cycle : 38 	 Accuracy :82.78145695364239 	 
cycle : 39 	 Accuracy :80.79470198675497 	 
cycle : 40 	 Accuracy :82.11920529801324 	 
cycle : 41 	 Accuracy :84.76821192052981 	 
cycle : 42 	 Accuracy :83.44370860927152 	 
cycle : 43 	 Accuracy :81.45695364238411 	 
Cycle: 44 	 Saturated Accuracy : 81.45695364238411 	 Number of times repeated 1
cycle : 45 	 Accuracy :80.13245033112582 	 
Cycle: 46 	 Saturated Accuracy : 80.13245033112582 	 Number of times repeated 1
cycle : 47 	 Accuracy :80.79470198675497 	 
cycle : 48 	 Accuracy :78.1456953642384 	 
cycle : 49 	 Accuracy :77.48344370860927 	 
****Sequence Ending*****
