PassengerCountAutomatedTesting07-12-202120211207143506.txt
Actual Value : 63637 	 Predicted Value:63637
Actual Value : 49961 	 Predicted Value:56600
Actual Value : 49961 	 Predicted Value:49961
Actual Value : 66593 	 Predicted Value:66593
Actual Value : 44092 	 Predicted Value:44092
Actual Value : 59438 	 Predicted Value:59438
Actual Value : 55435 	 Predicted Value:55435
Actual Value : 55804 	 Predicted Value:55804
Actual Value : 47374 	 Predicted Value:47374
Actual Value : 41728 	 Predicted Value:41728
Actual Value : 38434 	 Predicted Value:38434
Actual Value : 38434 	 Predicted Value:38434
Actual Value : 56275 	 Predicted Value:56275
Actual Value : 45933 	 Predicted Value:45933
Actual Value : 46515 	 Predicted Value:46515
Actual Value : 58935 	 Predicted Value:58935
Actual Value : 55804 	 Predicted Value:55804
Actual Value : 56256 	 Predicted Value:53048
Actual Value : 56256 	 Predicted Value:56256
Actual Value : 52726 	 Predicted Value:52726
Actual Value : 64172 	 Predicted Value:64172
Actual Value : 58863 	 Predicted Value:58863
Actual Value : 58863 	 Predicted Value:58863
Actual Value : 57621 	 Predicted Value:57621
Actual Value : 48433 	 Predicted Value:48433
Actual Value : 38871 	 Predicted Value:38871
Actual Value : 50515 	 Predicted Value:50515
Actual Value : 56534 	 Predicted Value:56534
Actual Value : 43851 	 Predicted Value:49890
Actual Value : 43851 	 Predicted Value:43851
Actual Value : 52381 	 Predicted Value:52381
Actual Value : 54728 	 Predicted Value:54728
Actual Value : 38871 	 Predicted Value:38871
Actual Value : 46995 	 Predicted Value:46995
Actual Value : 45650 	 Predicted Value:45650
Actual Value : 57621 	 Predicted Value:57621
Actual Value : 55991 	 Predicted Value:55991
Actual Value : 53806 	 Predicted Value:53806
Actual Value : 59438 	 Predicted Value:59438
Actual Value : 46515 	 Predicted Value:46515
Actual Value : 58621 	 Predicted Value:58621
Actual Value : 49961 	 Predicted Value:56600
Actual Value : 49961 	 Predicted Value:49961
Actual Value : 65189 	 Predicted Value:65189
Actual Value : 60829 	 Predicted Value:60829
Actual Value : 44737 	 Predicted Value:44737
Actual Value : 54342 	 Predicted Value:54342
Actual Value : 68790 	 Predicted Value:68790
Actual Value : 60486 	 Predicted Value:60486
Actual Value : 51090 	 Predicted Value:47203
Actual Value : 51090 	 Predicted Value:51090
Actual Value : 39440 	 Predicted Value:39440
Actual Value : 64172 	 Predicted Value:64172
Actual Value : 30019 	 Predicted Value:30019
Actual Value : 58192 	 Predicted Value:58192
Actual Value : 55470 	 Predicted Value:55470
Actual Value : 50525 	 Predicted Value:50525
Actual Value : 42612 	 Predicted Value:42612
Actual Value : 58863 	 Predicted Value:58863
Actual Value : 53048 	 Predicted Value:53048
Actual Value : 47457 	 Predicted Value:50525
Actual Value : 47457 	 Predicted Value:47457
Actual Value : 65270 	 Predicted Value:65270
Actual Value : 54544 	 Predicted Value:54544
Actual Value : 47992 	 Predicted Value:47992
Actual Value : 66593 	 Predicted Value:66593
Actual Value : 46515 	 Predicted Value:46515
Actual Value : 48221 	 Predicted Value:48221
Actual Value : 54544 	 Predicted Value:54544
Actual Value : 66474 	 Predicted Value:66474
Actual Value : 62480 	 Predicted Value:62480
Actual Value : 59438 	 Predicted Value:59438
Actual Value : 64690 	 Predicted Value:64690
Actual Value : 44355 	 Predicted Value:44355
Actual Value : 55991 	 Predicted Value:55991
Actual Value : 65868 	 Predicted Value:66467
Actual Value : 65868 	 Predicted Value:58829
Actual Value : 65868 	 Predicted Value:55565
Actual Value : 58621 	 Predicted Value:58621
Actual Value : 62480 	 Predicted Value:62480
Actual Value : 62655 	 Predicted Value:62655
Actual Value : 40031 	 Predicted Value:40031
Actual Value : 64690 	 Predicted Value:64690
Actual Value : 50515 	 Predicted Value:50515
Actual Value : 49506 	 Predicted Value:49506
Actual Value : 55435 	 Predicted Value:55435
Actual Value : 40809 	 Predicted Value:40809
Actual Value : 53646 	 Predicted Value:57408
Actual Value : 53646 	 Predicted Value:53646
Actual Value : 57621 	 Predicted Value:57621
Actual Value : 43085 	 Predicted Value:43085
Actual Value : 45524 	 Predicted Value:45524
Actual Value : 63637 	 Predicted Value:63637
Actual Value : 66467 	 Predicted Value:66467
Actual Value : 66593 	 Predicted Value:66593
Actual Value : 58435 	 Predicted Value:58435
Actual Value : 44355 	 Predicted Value:44355
Actual Value : 69972 	 Predicted Value:69972
Actual Value : 48433 	 Predicted Value:48433
Actual Value : 56534 	 Predicted Value:56534
Actual Value : 58403 	 Predicted Value:58403
Actual Value : 55991 	 Predicted Value:55991
Actual Value : 48433 	 Predicted Value:48433
Actual Value : 63162 	 Predicted Value:63162
Actual Value : 55470 	 Predicted Value:55470
Actual Value : 55470 	 Predicted Value:55470
Actual Value : 55565 	 Predicted Value:55565
Actual Value : 73719 	 Predicted Value:73719
Actual Value : 41088 	 Predicted Value:41088
Actual Value : 45933 	 Predicted Value:45933
Actual Value : 67277 	 Predicted Value:67277
Actual Value : 49412 	 Predicted Value:49412
Actual Value : 52648 	 Predicted Value:52648
Actual Value : 68855 	 Predicted Value:68855
ACCURACY OBTAINED: 99.04761904761905
