PassengerCountAutomatedTesting06-12-202120211206180841.txt
Actual Value : 33490 	 Predicted Value:34059
Actual Value : 33490 	 Predicted Value:28801
Actual Value : 33490 	 Predicted Value:33261
Actual Value : 34002 	 Predicted Value:27294
Actual Value : 34002 	 Predicted Value:27455
Actual Value : 34002 	 Predicted Value:28801
Actual Value : 33261 	 Predicted Value:26974
Actual Value : 33261 	 Predicted Value:27455
Actual Value : 33261 	 Predicted Value:28801
Actual Value : 30299 	 Predicted Value:31589
Actual Value : 30299 	 Predicted Value:31897
Actual Value : 30299 	 Predicted Value:34346
Actual Value : 24435 	 Predicted Value:19852
Actual Value : 24435 	 Predicted Value:24435
Actual Value : 24435 	 Predicted Value:19852
Actual Value : 24435 	 Predicted Value:29341
Actual Value : 24435 	 Predicted Value:19276
Actual Value : 22037 	 Predicted Value:30087
Actual Value : 22037 	 Predicted Value:31806
Actual Value : 22037 	 Predicted Value:30631
Actual Value : 30087 	 Predicted Value:31806
Actual Value : 30087 	 Predicted Value:32224
Actual Value : 30087 	 Predicted Value:30087
Actual Value : 31634 	 Predicted Value:33490
Actual Value : 31634 	 Predicted Value:31897
Actual Value : 31634 	 Predicted Value:34346
Actual Value : 33201 	 Predicted Value:33261
Actual Value : 33201 	 Predicted Value:34059
Actual Value : 33201 	 Predicted Value:26974
Actual Value : 32207 	 Predicted Value:27455
Actual Value : 32207 	 Predicted Value:27294
Actual Value : 32207 	 Predicted Value:32207
Actual Value : 23326 	 Predicted Value:25604
Actual Value : 23326 	 Predicted Value:32191
Actual Value : 23326 	 Predicted Value:31634
Actual Value : 33261 	 Predicted Value:26974
Actual Value : 33261 	 Predicted Value:28801
Actual Value : 33261 	 Predicted Value:33261
Actual Value : 29341 	 Predicted Value:30299
Actual Value : 29341 	 Predicted Value:29341
Actual Value : 33261 	 Predicted Value:26974
Actual Value : 33261 	 Predicted Value:28801
Actual Value : 33261 	 Predicted Value:33261
Actual Value : 27455 	 Predicted Value:22037
Actual Value : 27455 	 Predicted Value:22731
Actual Value : 27455 	 Predicted Value:22593
Actual Value : 26974 	 Predicted Value:23326
Actual Value : 26974 	 Predicted Value:22037
Actual Value : 26974 	 Predicted Value:22731
Actual Value : 30087 	 Predicted Value:31806
Actual Value : 30087 	 Predicted Value:32224
Actual Value : 30087 	 Predicted Value:30087
Actual Value : 31897 	 Predicted Value:32207
Actual Value : 31897 	 Predicted Value:27455
Actual Value : 31897 	 Predicted Value:27294
Actual Value : 31589 	 Predicted Value:31897
Actual Value : 31589 	 Predicted Value:31589
Actual Value : 23326 	 Predicted Value:25604
Actual Value : 23326 	 Predicted Value:32191
Actual Value : 23326 	 Predicted Value:30087
Actual Value : 22037 	 Predicted Value:30087
Actual Value : 22037 	 Predicted Value:30631
Actual Value : 22037 	 Predicted Value:31806
Actual Value : 27294 	 Predicted Value:22593
Actual Value : 27294 	 Predicted Value:22731
Actual Value : 27294 	 Predicted Value:22037
Actual Value : 19852 	 Predicted Value:29341
Actual Value : 19852 	 Predicted Value:19276
Actual Value : 19852 	 Predicted Value:24435
Actual Value : 34059 	 Predicted Value:28801
Actual Value : 34059 	 Predicted Value:34059
Actual Value : 33490 	 Predicted Value:34059
Actual Value : 33490 	 Predicted Value:33261
Actual Value : 33490 	 Predicted Value:28801
Actual Value : 34059 	 Predicted Value:28801
Actual Value : 34059 	 Predicted Value:26974
Actual Value : 34059 	 Predicted Value:34059
Actual Value : 30087 	 Predicted Value:31806
Actual Value : 30087 	 Predicted Value:32224
Actual Value : 30087 	 Predicted Value:30087
Actual Value : 30299 	 Predicted Value:31589
Actual Value : 30299 	 Predicted Value:31897
Actual Value : 30299 	 Predicted Value:30299
Actual Value : 33201 	 Predicted Value:33261
Actual Value : 33201 	 Predicted Value:34059
Actual Value : 33201 	 Predicted Value:26974
Actual Value : 33261 	 Predicted Value:26974
Actual Value : 33261 	 Predicted Value:28801
Actual Value : 33261 	 Predicted Value:27455
ACCURACY OBTAINED: 38.70967741935484
