CancerClassificationExperiment05-12-2021_637742592000000000.txt
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :26.666666666666668 	 
Cycle: 2 	 Saturated Accuracy : 26.666666666666668 	 Number of times repeated 1
cycle : 3 	 Accuracy :20 	 
cycle : 4 	 Accuracy :26.666666666666668 	 
Cycle: 5 	 Saturated Accuracy : 26.666666666666668 	 Number of times repeated 1
Cycle: 6 	 Saturated Accuracy : 26.666666666666668 	 Number of times repeated 2
Cycle: 7 	 Saturated Accuracy : 26.666666666666668 	 Number of times repeated 3
Cycle: 8 	 Saturated Accuracy : 26.666666666666668 	 Number of times repeated 4
Cycle: 9 	 Saturated Accuracy : 26.666666666666668 	 Number of times repeated 5
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :27.27272727272727 	 
cycle : 2 	 Accuracy :31.818181818181817 	 
cycle : 3 	 Accuracy :27.27272727272727 	 
cycle : 4 	 Accuracy :18.181818181818183 	 
cycle : 5 	 Accuracy :27.27272727272727 	 
cycle : 6 	 Accuracy :40.909090909090914 	 
Cycle: 7 	 Saturated Accuracy : 40.909090909090914 	 Number of times repeated 1
Cycle: 8 	 Saturated Accuracy : 40.909090909090914 	 Number of times repeated 2
Cycle: 9 	 Saturated Accuracy : 40.909090909090914 	 Number of times repeated 3
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :12.5 	 
cycle : 2 	 Accuracy :37.5 	 
Cycle: 3 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
Cycle: 4 	 Saturated Accuracy : 37.5 	 Number of times repeated 2
cycle : 5 	 Accuracy :31.25 	 
cycle : 6 	 Accuracy :37.5 	 
cycle : 7 	 Accuracy :43.75 	 
Cycle: 8 	 Saturated Accuracy : 43.75 	 Number of times repeated 1
cycle : 9 	 Accuracy :37.5 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :8.333333333333332 	 
cycle : 3 	 Accuracy :16.666666666666664 	 
Cycle: 4 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 1
Cycle: 5 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 2
Cycle: 6 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 3
Cycle: 7 	 Saturated Accuracy : 16.666666666666664 	 Number of times repeated 4
cycle : 8 	 Accuracy :8.333333333333332 	 
cycle : 9 	 Accuracy :25 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :26.08695652173913 	 
cycle : 2 	 Accuracy :34.78260869565217 	 
cycle : 3 	 Accuracy :21.73913043478261 	 
