 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :85.71428571428571 	 
Cycle: 2 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 1
cycle : 3 	 Accuracy :92.85714285714286 	 
Cycle: 12 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 1
Cycle: 13 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 2
Cycle: 14 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 3
Cycle: 17 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 4
Cycle: 18 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 5
Cycle: 19 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 6
Cycle: 26 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 7
Cycle: 27 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 8
Cycle: 28 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 9
cycle : 30 	 Accuracy :85.71428571428571 	 
cycle : 31 	 Accuracy :92.85714285714286 	 
Cycle: 44 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 1
Cycle: 46 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 2
cycle : 49 	 Accuracy :85.71428571428571 	 
Cycle: 51 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 1
Cycle: 53 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 2
cycle : 55 	 Accuracy :92.85714285714286 	 
Cycle: 57 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 1
Cycle: 59 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 2
Cycle: 60 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 3
Cycle: 61 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 4
Cycle: 62 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 5
cycle : 63 	 Accuracy :85.71428571428571 	 
cycle : 65 	 Accuracy :78.57142857142857 	 
cycle : 66 	 Accuracy :92.85714285714286 	 
Cycle: 67 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 1
Cycle: 68 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 2
Cycle: 69 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 3
Cycle: 70 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 4
Cycle: 71 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 5
Cycle: 72 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 6
Cycle: 73 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 7
Cycle: 77 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 8
Cycle: 78 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 9
Cycle: 80 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 10
Cycle: 81 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 11
Cycle: 86 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 12
Cycle: 87 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 13
Cycle: 88 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 14
Cycle: 98 	 Saturated Accuracy : 92.85714285714286 	 Number of times repeated 15
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :42.857142857142854 	 
Cycle: 2 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 8
Cycle: 10 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 9
Cycle: 11 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 10
Cycle: 12 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 11
Cycle: 13 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 12
Cycle: 14 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 13
Cycle: 15 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 14
Cycle: 16 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 15
Cycle: 17 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 16
Cycle: 18 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 17
Cycle: 19 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 18
Cycle: 20 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 19
Cycle: 21 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 20
Cycle: 22 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 21
Cycle: 23 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 22
Cycle: 24 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 23
Cycle: 25 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 24
Cycle: 26 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 25
Cycle: 27 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 26
Cycle: 28 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 27
Cycle: 29 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 28
Cycle: 30 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 29
Cycle: 31 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 30
Cycle: 32 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 31
Cycle: 33 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 32
Cycle: 34 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 33
Cycle: 35 	 Saturated Accuracy : 42.857142857142854 	 Number of times repeated 34
cycle : 36 	 Accuracy :52.38095238095239 	 
cycle : 37 	 Accuracy :71.42857142857143 	 
Cycle: 38 	 Saturated Accuracy : 71.42857142857143 	 Number of times repeated 1
Cycle: 39 	 Saturated Accuracy : 71.42857142857143 	 Number of times repeated 2
cycle : 40 	 Accuracy :76.19047619047619 	 
cycle : 41 	 Accuracy :71.42857142857143 	 
cycle : 42 	 Accuracy :76.19047619047619 	 
cycle : 43 	 Accuracy :66.66666666666666 	 
cycle : 44 	 Accuracy :76.19047619047619 	 
cycle : 45 	 Accuracy :85.71428571428571 	 
cycle : 46 	 Accuracy :90.47619047619048 	 
Cycle: 47 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
cycle : 48 	 Accuracy :85.71428571428571 	 
Cycle: 49 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 1
cycle : 50 	 Accuracy :90.47619047619048 	 
Cycle: 51 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
cycle : 52 	 Accuracy :85.71428571428571 	 
cycle : 53 	 Accuracy :90.47619047619048 	 
Cycle: 54 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
Cycle: 55 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 2
Cycle: 56 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 3
Cycle: 57 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 4
Cycle: 58 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 5
Cycle: 59 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 6
Cycle: 60 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 7
Cycle: 61 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 8
Cycle: 62 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 9
Cycle: 63 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 10
Cycle: 64 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 11
Cycle: 65 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 12
Cycle: 66 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 13
Cycle: 67 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 14
cycle : 68 	 Accuracy :85.71428571428571 	 
Cycle: 69 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 1
Cycle: 70 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 2
Cycle: 71 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 3
cycle : 72 	 Accuracy :90.47619047619048 	 
Cycle: 73 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
cycle : 74 	 Accuracy :85.71428571428571 	 
Cycle: 75 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 1
Cycle: 76 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 2
Cycle: 77 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 3
cycle : 78 	 Accuracy :90.47619047619048 	 
Cycle: 79 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
cycle : 80 	 Accuracy :85.71428571428571 	 
Cycle: 81 	 Saturated Accuracy : 85.71428571428571 	 Number of times repeated 1
cycle : 82 	 Accuracy :90.47619047619048 	 
Cycle: 83 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
Cycle: 84 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 2
Cycle: 85 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 3
Cycle: 86 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 4
Cycle: 87 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 5
Cycle: 88 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 6
cycle : 89 	 Accuracy :61.904761904761905 	 
cycle : 90 	 Accuracy :80.95238095238095 	 
cycle : 91 	 Accuracy :95.23809523809523 	 
cycle : 92 	 Accuracy :90.47619047619048 	 
Cycle: 93 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 1
Cycle: 94 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 2
Cycle: 95 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 3
Cycle: 96 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 4
Cycle: 97 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 5
Cycle: 98 	 Saturated Accuracy : 90.47619047619048 	 Number of times repeated 6
cycle : 99 	 Accuracy :95.23809523809523 	 
****Sequence Ending*****
 * ***Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :46.666666666666664 	 
cycle : 2 	 Accuracy :66.66666666666666 	 
cycle : 3 	 Accuracy :60 	 
cycle : 4 	 Accuracy :66.66666666666666 	 
cycle : 5 	 Accuracy :73.33333333333333 	 
Cycle: 6 	 Saturated Accuracy : 73.33333333333333 	 Number of times repeated 1
cycle : 7 	 Accuracy :80 	 
Cycle: 8 	 Saturated Accuracy : 80 	 Number of times repeated 1
Cycle: 9 	 Saturated Accuracy : 80 	 Number of times repeated 2
Cycle: 10 	 Saturated Accuracy : 80 	 Number of times repeated 3
Cycle: 11 	 Saturated Accuracy : 80 	 Number of times repeated 4
Cycle: 12 	 Saturated Accuracy : 80 	 Number of times repeated 5
Cycle: 13 	 Saturated Accuracy : 80 	 Number of times repeated 6
Cycle: 14 	 Saturated Accuracy : 80 	 Number of times repeated 7
cycle : 15 	 Accuracy :86.66666666666667 	 
cycle : 16 	 Accuracy :80 	 
cycle : 17 	 Accuracy :86.66666666666667 	 
Cycle: 18 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 19 	 Accuracy :80 	 
Cycle: 20 	 Saturated Accuracy : 80 	 Number of times repeated 1
cycle : 21 	 Accuracy :86.66666666666667 	 
Cycle: 22 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
Cycle: 23 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 2
Cycle: 24 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 3
Cycle: 25 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 4
Cycle: 26 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 5
Cycle: 27 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 6
Cycle: 28 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 7
Cycle: 29 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 8
Cycle: 30 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 9
Cycle: 31 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 10
cycle : 32 	 Accuracy :93.33333333333333 	 
cycle : 33 	 Accuracy :86.66666666666667 	 
Cycle: 34 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 35 	 Accuracy :93.33333333333333 	 
Cycle: 36 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 1
cycle : 37 	 Accuracy :86.66666666666667 	 
Cycle: 38 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
Cycle: 39 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 2
cycle : 40 	 Accuracy :93.33333333333333 	 
cycle : 41 	 Accuracy :86.66666666666667 	 
Cycle: 42 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 43 	 Accuracy :93.33333333333333 	 
cycle : 44 	 Accuracy :86.66666666666667 	 
Cycle: 45 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
Cycle: 46 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 2
cycle : 47 	 Accuracy :93.33333333333333 	 
Cycle: 48 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 1
Cycle: 49 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 2
cycle : 50 	 Accuracy :86.66666666666667 	 
Cycle: 51 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
Cycle: 52 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 2
Cycle: 53 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 3
Cycle: 54 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 4
Cycle: 55 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 5
Cycle: 56 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 6
Cycle: 57 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 7
Cycle: 58 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 8
Cycle: 59 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 9
cycle : 60 	 Accuracy :93.33333333333333 	 
cycle : 61 	 Accuracy :86.66666666666667 	 
Cycle: 62 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 63 	 Accuracy :93.33333333333333 	 
Cycle: 64 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 1
cycle : 65 	 Accuracy :86.66666666666667 	 
Cycle: 66 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 67 	 Accuracy :93.33333333333333 	 
cycle : 68 	 Accuracy :86.66666666666667 	 
Cycle: 69 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 70 	 Accuracy :93.33333333333333 	 
Cycle: 71 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 1
cycle : 72 	 Accuracy :86.66666666666667 	 
Cycle: 73 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 74 	 Accuracy :93.33333333333333 	 
Cycle: 75 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 1
cycle : 76 	 Accuracy :86.66666666666667 	 
Cycle: 77 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
cycle : 78 	 Accuracy :93.33333333333333 	 
cycle : 79 	 Accuracy :86.66666666666667 	 
Cycle: 80 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
Cycle: 81 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 2
Cycle: 82 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 3
Cycle: 83 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 4
cycle : 84 	 Accuracy :93.33333333333333 	 
cycle : 85 	 Accuracy :86.66666666666667 	 
cycle : 86 	 Accuracy :93.33333333333333 	 
Cycle: 87 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 1
Cycle: 88 	 Saturated Accuracy : 93.33333333333333 	 Number of times repeated 2
cycle : 89 	 Accuracy :86.66666666666667 	 
Cycle: 90 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 1
Cycle: 91 	 Saturated Accuracy : 86.66666666666667 	 Number of times repeated 2
